"","year","NHS Ayrshire and Arran","NHS Borders","NHS Dumfries and Galloway","NHS Fife","NHS Forth Valley","NHS Grampian","NHS Greater Glasgow and Clyde","NHS Highland","NHS Lanarkshire","NHS Lothian","NHS Orkney","NHS Shetland","NHS Tayside","NHS Western Isles"
"1",2012,146.677966101695,65.5454545454545,72.6734693877551,89.8275862068966,151.151515151515,154.025641025641,327.771084337349,107.696428571429,203.68085106383,235.012345679012,13.125,21.4347826086957,136.802816901408,25.3809523809524
"2",2013,179.122950819672,121.134453781513,99.4679802955665,100.784810126582,195.394160583942,244.475247524752,453.173913043478,154.764150943396,249.325123152709,345.878881987578,16.4367816091954,31.3666666666667,171.220216606498,37.6875
"3",2014,175.743362831858,130.383177570093,126.314432989691,97.614406779661,205.237762237762,243.609677419355,481.531609195402,145.292372881356,258.2,358.704402515723,13.1590909090909,26.6451612903226,197.818867924528,33.9
"4",2015,194.063926940639,112.311926605505,133.032085561497,98.3145161290323,215.239130434783,238.090909090909,510.960227272727,141.983193277311,283.472340425532,334.388012618297,12.5959595959596,22.1704545454545,230.073643410853,37.2469135802469
"5",2016,185.033898305085,109.207207207207,140.85393258427,126.093617021277,242.044444444444,233.349206349206,540.859154929577,131.9125,344.683035714286,329.892307692308,11.9897959183673,23.6086956521739,238.410909090909,39.1728395061728
"6",2017,208.328502415459,110.553719008264,123.852631578947,141.115226337449,293.932835820896,290.72380952381,564.398351648352,175.3671875,336.292181069959,344.858024691358,14.3225806451613,24.2210526315789,234.69014084507,36.025641025641
"7",2018,222.286458333333,122.353982300885,137.452127659574,166.958847736626,303.335877862595,356,626.068870523416,230.789272030651,368.084033613445,402.848387096774,16.0215053763441,24.6464646464646,253.459627329193,33
"8",2019,228.277227722772,113.589285714286,147.642857142857,153.223684210526,280.552,330.386996904025,755.495798319328,207.269230769231,360.929203539823,428.673076923077,20.1368421052632,26.11,278.12012987013,37.3170731707317
"9",2020,279.4,146.645161290323,148.221590909091,170.905829596413,299.891666666667,390.849180327869,786.355555555556,226.677902621723,434.669902912621,492.034810126582,18.5806451612903,29.6792452830189,315.815331010453,46.9487179487179
"10",2021,423.401129943503,195.425742574257,147.095505617978,169.630901287554,312.05,478.417508417508,933.590027700831,252.985401459854,594.72864321608,645.279742765273,33.7411764705882,35.7037037037037,389.950877192982,63.1923076923077
"11",2022,533.478260869565,208.612903225806,172.686274509804,228.428571428571,365.25,623.41095890411,1163.37362637363,318.893939393939,718.78431372549,878.789473684211,31.48,32.5357142857143,443.106666666667,84.7777777777778
